zh          1.37275E-06   2.19259E-06   3.50158E-06   5.59091E-06   8.92514E-06   1.42455E-05   2.27348E-05   3.62802E-05   5.78922E-05   9.23738E-05   1.47387E-04   2.35154E-04   3.75168E-04   5.98520E-04   9.54795E-04   1.52306E-03   2.42938E-03   3.87476E-03   6.17960E-03   9.85462E-03   1.57138E-02   2.50546E-02   3.99453E-02   6.36846E-02   1.01540E-01   1.61939E-01   2.58419E-01   4.12862E-01   6.60980E-01   1.06185E+00   1.71487E+00   2.79029E+00   4.58482E+00   7.62171E+00   1.28287E+01   2.18463E+01   3.75471E+01   6.48816E+01   1.12211E+02   1.93326E+02   3.30377E+02
            1.05056E+04   1.32778E+04   1.67744E+04   2.11862E+04   2.67539E+04   3.37815E+04   4.26521E+04   5.38483E+04   6.79782E+04   8.58077E+04   1.08302E+05   1.36674E+05   1.72452E+05   2.17554E+05   2.74391E+05   3.45983E+05   4.36112E+05   5.49500E+05   6.92032E+05   8.71010E+05   1.09546E+06   1.37649E+06   1.72769E+06   2.16567E+06   2.71092E+06   3.38950E+06   4.23684E+06   5.30617E+06   6.68518E+06   8.52579E+06   1.10900E+07   1.48104E+07   2.03541E+07   2.86729E+07   4.10121E+07   5.88641E+07   8.38599E+07   1.17620E+08   1.61595E+08   2.16914E+08   2.84247E+08
            1.04959E+04   1.32654E+04   1.67588E+04   2.11662E+04   2.67285E+04   3.37493E+04   4.26110E+04   5.37958E+04   6.79111E+04   8.57218E+04   1.08191E+05   1.36532E+05   1.72267E+05   2.17315E+05   2.74078E+05   3.45572E+05   4.35568E+05   5.48774E+05   6.91050E+05   8.69666E+05   1.09359E+06   1.37383E+06   1.72381E+06   2.15986E+06   2.70196E+06   3.37532E+06   4.21412E+06   5.26997E+06   6.62924E+06   8.44435E+06   1.09824E+07   1.46892E+07   2.02565E+07   2.86722E+07   4.12243E+07   5.94429E+07   8.49763E+07   1.19426E+08   1.64178E+08   2.20257E+08   2.88207E+08

ah          4.75845E-12   6.07888E-12   7.74421E-12   9.84796E-12   1.25093E-11   1.58798E-11   2.01529E-11   2.55754E-11   3.24630E-11   4.12212E-11   5.23714E-11   6.65865E-11   8.47379E-11   1.07959E-10   1.37728E-10   1.75987E-10   2.25296E-10   2.89057E-10   3.71818E-10   4.79707E-10   6.21057E-10   8.07302E-10   1.05430E-09   1.38427E-09   1.82878E-09   2.43318E-09   3.26351E-09   4.41713E-09   6.03929E-09   8.34861E-09   1.16760E-08   1.65230E-08   2.36459E-08   3.41755E-08   4.97777E-08   7.28657E-08   1.06869E-07   1.56571E-07   2.28533E-07   3.31639E-07   4.77806E-07
            4.36297E-12   5.57414E-12   7.10191E-12   9.03227E-12   1.14748E-11   1.45690E-11   1.84929E-11   2.34740E-11   2.98037E-11   3.78561E-11   4.81134E-11   6.11986E-11   7.79197E-11   9.93290E-11   1.26803E-10   1.62154E-10   2.07776E-10   2.66861E-10   3.43688E-10   4.44048E-10   5.75843E-10   7.49969E-10   9.81609E-10   1.29218E-09   1.71225E-09   2.28612E-09   3.07875E-09   4.18680E-09   5.75579E-09   8.00688E-09   1.12779E-08   1.60850E-08   2.32122E-08   3.38361E-08   4.96950E-08   7.33048E-08   1.08231E-07   1.59421E-07   2.33613E-07   3.39855E-07   4.90179E-07
            4.00971E-12   5.12320E-12   6.52798E-12   8.30323E-12   1.05499E-11   1.33967E-11   1.70079E-11   2.15933E-11   2.74224E-11   3.48410E-11   4.42957E-11   5.63638E-11   7.17955E-11   9.15693E-11   1.16968E-10   1.49680E-10   1.91950E-10   2.46767E-10   3.18161E-10   4.11595E-10   5.34555E-10   6.97405E-10   9.14655E-10   1.20687E-09   1.60362E-09   2.14796E-09   2.90361E-09   3.96615E-09   5.48085E-09   7.67062E-09   1.08793E-08   1.56366E-08   2.27529E-08   3.34509E-08   4.95406E-08   7.36429E-08   1.09462E-07   1.62114E-07   2.38520E-07   3.47896E-07   5.02400E-07
            3.69345E-12   4.71944E-12   6.01397E-12   7.65015E-12   9.72119E-12   1.23460E-11   1.56762E-11   1.99061E-11   2.52849E-11   3.21331E-11   4.08644E-11   5.20147E-11   6.62811E-11   8.45739E-11   1.08088E-10   1.38402E-10   1.77613E-10   2.28525E-10   2.94926E-10   3.81965E-10   4.96725E-10   6.49040E-10   8.52743E-10   1.12753E-09   1.50187E-09   2.01749E-09   2.73661E-09   3.75334E-09   5.21206E-09   7.33653E-09   1.04753E-08   1.51702E-08   2.22565E-08   3.30009E-08   4.92852E-08   7.38351E-08   1.10496E-07   1.64555E-07   2.43122E-07   3.55590E-07   5.14247E-07
            3.40973E-12   4.35714E-12   5.55267E-12   7.06389E-12   8.97704E-12   1.14021E-11   1.44796E-11   1.83893E-11   2.33623E-11   2.96957E-11   3.77736E-11   4.80939E-11   6.13047E-11   7.82537E-11   1.00055E-10   1.28182E-10   1.64596E-10   2.11927E-10   2.73728E-10   3.54852E-10   4.61982E-10   6.04436E-10   7.95359E-10   1.05356E-09   1.40634E-09   1.89398E-09   2.57696E-09   3.54749E-09   4.94840E-09   7.00328E-09   1.00639E-08   1.46824E-08   2.17165E-08   3.24750E-08   4.89093E-08   7.38492E-08   1.11282E-07   1.66669E-07   2.47313E-07   3.62792E-07   5.25531E-07
            3.15468E-12   4.03141E-12   5.13783E-12   6.53656E-12   8.30750E-12   1.05526E-11   1.34022E-11   1.70230E-11   2.16295E-11   2.74977E-11   3.49844E-11   4.45526E-11   5.68057E-11   7.25331E-11   9.27741E-11   1.18905E-10   1.52758E-10   1.96798E-10   2.54361E-10   3.30006E-10   4.30034E-10   5.63251E-10   7.42119E-10   9.84533E-10   1.31659E-09   1.77701E-09   2.42429E-09   3.34837E-09   4.68984E-09   6.67103E-09   9.64537E-09   1.41730E-08   2.11315E-08   3.18688E-08   4.84029E-08   7.36657E-08   1.11786E-07   1.68401E-07   2.51010E-07   3.69384E-07   5.36096E-07
            2.92497E-12   3.73798E-12   4.76407E-12   6.06134E-12   7.70397E-12   9.78662E-12   1.24303E-11   1.57901E-11   2.00651E-11   2.55121E-11   3.24630E-11   4.13488E-11   5.27315E-11   6.73472E-11   8.61654E-11   1.10471E-10   1.41979E-10   1.82995E-10   2.36648E-10   3.07219E-10   4.00639E-10   5.25212E-10   6.92723E-10   9.20150E-10   1.23235E-09   1.66638E-09   2.27858E-09   3.15624E-09   4.43707E-09   6.34104E-09   9.22157E-09   1.36445E-08   2.05040E-08   3.11835E-08   4.77639E-08   7.32761E-08   1.11988E-07   1.69714E-07   2.54155E-07   3.75280E-07   5.45821E-07
