
dzh         1.90462E+04   4.09470E+04   6.03868E+04   6.91646E+04   7.94254E+04   1.18051E+05   2.13974E+05   3.90635E+05   6.56972E+05   1.04274E+06   1.65277E+06   2.65457E+06   4.27075E+06   6.84300E+06   1.09113E+07   1.72887E+07   2.71351E+07   4.19518E+07   6.32522E+07   9.14205E+07   1.23396E+08   1.50656E+08   1.62261E+08   1.55085E+08   1.40855E+08   1.38959E+08   1.64454E+08   2.24496E+08   3.18294E+08   4.33111E+08   5.41406E+08
            1.90819E+04   4.10237E+04   6.04999E+04   6.92942E+04   7.95742E+04   1.18272E+05   2.14374E+05   3.91366E+05   6.58201E+05   1.04469E+06   1.65586E+06   2.65955E+06   4.27877E+06   6.85588E+06   1.09319E+07   1.73215E+07   2.71870E+07   4.20324E+07   6.33741E+07   9.15954E+07   1.23625E+08   1.50918E+08   1.62516E+08   1.55312E+08   1.41079E+08   1.39273E+08   1.65021E+08   2.25524E+08   3.19924E+08   4.35279E+08   5.43782E+08
            1.91176E+04   4.11004E+04   6.06131E+04   6.94237E+04   7.97229E+04   1.18493E+05   2.14775E+05   3.92097E+05   6.59430E+05   1.04664E+06   1.65896E+06   2.66452E+06   4.28679E+06   6.86876E+06   1.09525E+07   1.73543E+07   2.72388E+07   4.21131E+07   6.34961E+07   9.17702E+07   1.23854E+08   1.51179E+08   1.62771E+08   1.55538E+08   1.41304E+08   1.39587E+08   1.65591E+08   2.26557E+08   3.21560E+08   4.37451E+08   5.46156E+08
            1.91533E+04   4.11771E+04   6.07262E+04   6.95532E+04   7.98716E+04   1.18713E+05   2.15175E+05   3.92828E+05   6.60659E+05   1.04859E+06   1.66205E+06   2.66950E+06   4.29480E+06   6.88163E+06   1.09731E+07   1.73871E+07   2.72906E+07   4.21937E+07   6.36180E+07   9.19449E+07   1.24082E+08   1.51439E+08   1.63026E+08   1.55764E+08   1.41528E+08   1.39903E+08   1.66164E+08   2.27595E+08   3.23202E+08   4.39626E+08   5.48525E+08
            1.91890E+04   4.12538E+04   6.08393E+04   6.96828E+04   8.00203E+04   1.18934E+05   2.15575E+05   3.93558E+05   6.61888E+05   1.05054E+06   1.66514E+06   2.67447E+06   4.30282E+06   6.89451E+06   1.09937E+07   1.74199E+07   2.73424E+07   4.22743E+07   6.37398E+07   9.21196E+07   1.24310E+08   1.51700E+08   1.63281E+08   1.55990E+08   1.41753E+08   1.40220E+08   1.66740E+08   2.28638E+08   3.24849E+08   4.41803E+08   5.50888E+08
            1.92246E+04   4.13305E+04   6.09524E+04   6.98123E+04   8.01689E+04   1.19155E+05   2.15976E+05   3.94289E+05   6.63117E+05   1.05249E+06   1.66824E+06   2.67944E+06   4.31083E+06   6.90738E+06   1.10143E+07   1.74527E+07   2.73942E+07   4.23549E+07   6.38617E+07   9.22943E+07   1.24539E+08   1.51960E+08   1.63535E+08   1.56216E+08   1.41977E+08   1.40537E+08   1.67319E+08   2.29685E+08   3.26502E+08   4.43984E+08   5.53246E+08
            1.92603E+04   4.14071E+04   6.10654E+04   6.99417E+04   8.03175E+04   1.19376E+05   2.16376E+05   3.95019E+05   6.64345E+05   1.05444E+06   1.67133E+06   2.68442E+06   4.31884E+06   6.92025E+06   1.10349E+07   1.74855E+07   2.74460E+07   4.24355E+07   6.39835E+07   9.24688E+07   1.24767E+08   1.52220E+08   1.63789E+08   1.56441E+08   1.42202E+08   1.40856E+08   1.67901E+08   2.30738E+08   3.28160E+08   4.46167E+08   5.55601E+08
            1.92959E+04   4.14838E+04   6.11784E+04   7.00712E+04   8.04661E+04   1.19597E+05   2.16776E+05   3.95750E+05   6.65573E+05   1.05639E+06   1.67442E+06   2.68939E+06   4.32685E+06   6.93311E+06   1.10555E+07   1.75183E+07   2.74978E+07   4.25160E+07   6.41053E+07   9.26433E+07   1.24995E+08   1.52480E+08   1.64042E+08   1.56666E+08   1.42427E+08   1.41176E+08   1.68485E+08   2.31795E+08   3.29822E+08   4.48353E+08   5.57954E+08
            1.93316E+04   4.15604E+04   6.12915E+04   7.02006E+04   8.06147E+04   1.19817E+05   2.17176E+05   3.96480E+05   6.66801E+05   1.05834E+06   1.67751E+06   2.69436E+06   4.33486E+06   6.94598E+06   1.10761E+07   1.75511E+07   2.75496E+07   4.25966E+07   6.42271E+07   9.28178E+07   1.25222E+08   1.52740E+08   1.64295E+08   1.56891E+08   1.42651E+08   1.41497E+08   1.69072E+08   2.32856E+08   3.31490E+08   4.50540E+08   5.60303E+08
