            7.21662E+03   1.08315E+04   1.63574E+04   2.51780E+04   3.89567E+04   6.01383E+04   9.26767E+04   1.42727E+05   2.19682E+05   3.37871E+05   5.19124E+05   7.96591E+05   1.22036E+06   1.86565E+06   2.84439E+06   4.32127E+06   6.53463E+06   9.82128E+06   1.46404E+07   2.15826E+07   3.13307E+07   4.45056E+07   6.12848E+07   8.06959E+07   9.97613E+07   1.13438E+08   1.16938E+08   1.10328E+08   1.00695E+08   9.64331E+07   9.77070E+07
            7.23321E+03   1.08564E+04   1.63948E+04   2.52354E+04   3.90453E+04   6.02746E+04   9.28863E+04   1.43049E+05   2.20176E+05   3.38628E+05   5.20284E+05   7.98367E+05   1.22308E+06   1.86978E+06   2.85068E+06   4.33081E+06   6.54904E+06   9.84295E+06   1.46728E+07   2.16304E+07   3.14002E+07   4.46046E+07   6.14212E+07   8.08747E+07   9.99796E+07   1.13680E+08   1.17181E+08   1.10557E+08   1.00910E+08   9.66465E+07   9.79184E+07
            7.24981E+03   1.08812E+04   1.64322E+04   2.52929E+04   3.91339E+04   6.04111E+04   9.30960E+04   1.43371E+05   2.20670E+05   3.39386E+05   5.21445E+05   8.00143E+05   1.22579E+06   1.87392E+06   2.85698E+06   4.34036E+06   6.56347E+06   9.86462E+06   1.47051E+07   2.16781E+07   3.14697E+07   4.47035E+07   6.15576E+07   8.10536E+07   1.00198E+08   1.13923E+08   1.17425E+08   1.10785E+08   1.01125E+08   9.68596E+07   9.81295E+07
            7.26643E+03   1.09061E+04   1.64697E+04   2.53503E+04   3.92226E+04   6.05477E+04   9.33058E+04   1.43693E+05   2.21165E+05   3.40144E+05   5.22607E+05   8.01921E+05   1.22851E+06   1.87806E+06   2.86327E+06   4.34992E+06   6.57790E+06   9.88631E+06   1.47374E+07   2.17259E+07   3.15392E+07   4.48026E+07   6.16941E+07   8.12326E+07   1.00416E+08   1.14165E+08   1.17668E+08   1.11013E+08   1.01340E+08   9.70723E+07   9.83401E+07
            7.28305E+03   1.09310E+04   1.65072E+04   2.54079E+04   3.93114E+04   6.06843E+04   9.35158E+04   1.44015E+05   2.21660E+05   3.40903E+05   5.23769E+05   8.03699E+05   1.23122E+06   1.88221E+06   2.86958E+06   4.35947E+06   6.59234E+06   9.90800E+06   1.47698E+07   2.17737E+07   3.16088E+07   4.49016E+07   6.18306E+07   8.14116E+07   1.00635E+08   1.14408E+08   1.17912E+08   1.11241E+08   1.01554E+08   9.72847E+07   9.85501E+07
            7.29968E+03   1.09559E+04   1.65447E+04   2.54654E+04   3.94002E+04   6.08210E+04   9.37258E+04   1.44338E+05   2.22155E+05   3.41662E+05   5.24932E+05   8.05478E+05   1.23394E+06   1.88635E+06   2.87588E+06   4.36904E+06   6.60678E+06   9.92970E+06   1.48022E+07   2.18215E+07   3.16784E+07   4.50007E+07   6.19672E+07   8.15906E+07   1.00853E+08   1.14651E+08   1.18155E+08   1.11469E+08   1.01768E+08   9.74967E+07   9.87596E+07
            7.31633E+03   1.09808E+04   1.65822E+04   2.55230E+04   3.94890E+04   6.09578E+04   9.39360E+04   1.44661E+05   2.22650E+05   3.42421E+05   5.26095E+05   8.07258E+05   1.23666E+06   1.89050E+06   2.88219E+06   4.37860E+06   6.62124E+06   9.95142E+06   1.48346E+07   2.18693E+07   3.17480E+07   4.50999E+07   6.21038E+07   8.17698E+07   1.01072E+08   1.14893E+08   1.18399E+08   1.11696E+08   1.01982E+08   9.77082E+07   9.89684E+07
            7.33298E+03   1.10058E+04   1.66198E+04   2.55807E+04   3.95780E+04   6.10946E+04   9.41463E+04   1.44983E+05   2.23145E+05   3.43181E+05   5.27259E+05   8.09039E+05   1.23938E+06   1.89465E+06   2.88850E+06   4.38818E+06   6.63569E+06   9.97314E+06   1.48670E+07   2.19172E+07   3.18177E+07   4.51991E+07   6.22405E+07   8.19489E+07   1.01290E+08   1.15136E+08   1.18642E+08   1.11924E+08   1.02196E+08   9.79191E+07   9.91764E+07
            7.34964E+03   1.10307E+04   1.66573E+04   2.56383E+04   3.96669E+04   6.12316E+04   9.43568E+04   1.45307E+05   2.23641E+05   3.43941E+05   5.28424E+05   8.10821E+05   1.24210E+06   1.89880E+06   2.89482E+06   4.39775E+06   6.65016E+06   9.99488E+06   1.48994E+07   2.19651E+07   3.18873E+07   4.52983E+07   6.23772E+07   8.21281E+07   1.01509E+08   1.15378E+08   1.18885E+08   1.12151E+08   1.02409E+08   9.81294E+07   9.93835E+07
            7.36632E+03   1.10557E+04   1.66949E+04   2.56960E+04   3.97559E+04   6.13686E+04   9.45673E+04   1.45630E+05   2.24137E+05   3.44702E+05   5.29589E+05   8.12603E+05   1.24483E+06   1.90295E+06   2.90113E+06   4.40733E+06   6.66463E+06   1.00166E+07   1.49318E+07   2.20129E+07   3.19570E+07   4.53976E+07   6.25140E+07   8.23074E+07   1.01727E+08   1.15621E+08   1.19128E+08   1.12378E+08   1.02621E+08   9.83390E+07   9.95895E+07
