
dzh         7.94186E+02   1.83106E+03   3.03218E+03   4.06412E+03   5.15737E+03   7.14089E+03   1.08849E+04   1.68954E+04   2.57433E+04   3.87177E+04   5.80018E+04   8.67520E+04   1.29453E+05   1.92466E+05   2.84623E+05   4.17699E+05   6.06353E+05   8.66695E+05   1.21203E+06   1.64391E+06   2.13749E+06   2.62497E+06   2.99018E+06   3.09685E+06   2.86082E+06   2.32856E+06   1.68066E+06   1.12692E+06   7.78236E+05   6.07632E+05   5.13500E+05
            7.95988E+02   1.83522E+03   3.03907E+03   4.07337E+03   5.16915E+03   7.15730E+03   1.09100E+04   1.69346E+04   2.58031E+04   3.88079E+04   5.81371E+04   8.69548E+04   1.29756E+05   1.92917E+05   2.85291E+05   4.18681E+05   6.07780E+05   8.68738E+05   1.21489E+06   1.64779E+06   2.14254E+06   2.63117E+06   2.99726E+06   3.10418E+06   2.86759E+06   2.33408E+06   1.68464E+06   1.12959E+06   7.80081E+05   6.09072E+05   5.14716E+05
            7.97789E+02   1.83937E+03   3.04595E+03   4.08261E+03   5.18093E+03   7.17371E+03   1.09352E+04   1.69737E+04   2.58629E+04   3.88980E+04   5.82725E+04   8.71577E+04   1.30059E+05   1.93369E+05   2.85960E+05   4.19664E+05   6.09208E+05   8.70781E+05   1.21775E+06   1.65167E+06   2.14760E+06   2.63738E+06   3.00433E+06   3.11152E+06   2.87437E+06   2.33959E+06   1.68862E+06   1.13226E+06   7.81926E+05   6.10514E+05   5.15933E+05
            7.99591E+02   1.84352E+03   3.05283E+03   4.09185E+03   5.19271E+03   7.19012E+03   1.09603E+04   1.70129E+04   2.59227E+04   3.89882E+04   5.84079E+04   8.73606E+04   1.30363E+05   1.93820E+05   2.86629E+05   4.20647E+05   6.10637E+05   8.72825E+05   1.22061E+06   1.65556E+06   2.15265E+06   2.64360E+06   3.01141E+06   3.11885E+06   2.88114E+06   2.34511E+06   1.69260E+06   1.13493E+06   7.83772E+05   6.11955E+05   5.17150E+05
            8.01393E+02   1.84768E+03   3.05972E+03   4.10110E+03   5.20449E+03   7.20653E+03   1.09854E+04   1.70520E+04   2.59825E+04   3.90784E+04   5.85433E+04   8.75635E+04   1.30666E+05   1.94272E+05   2.87298E+05   4.21630E+05   6.12065E+05   8.74870E+05   1.22348E+06   1.65944E+06   2.15771E+06   2.64981E+06   3.01849E+06   3.12619E+06   2.88792E+06   2.35062E+06   1.69659E+06   1.13760E+06   7.85619E+05   6.13397E+05   5.18368E+05
            8.03195E+02   1.85183E+03   3.06660E+03   4.11035E+03   5.21628E+03   7.22294E+03   1.10106E+04   1.70912E+04   2.60424E+04   3.91686E+04   5.86788E+04   8.77665E+04   1.30969E+05   1.94724E+05   2.87967E+05   4.22613E+05   6.13494E+05   8.76914E+05   1.22634E+06   1.66333E+06   2.16276E+06   2.65602E+06   3.02558E+06   3.13352E+06   2.89470E+06   2.35614E+06   1.70057E+06   1.14028E+06   7.87466E+05   6.14839E+05   5.19585E+05
            8.04997E+02   1.85599E+03   3.07348E+03   4.11959E+03   5.22806E+03   7.23936E+03   1.10357E+04   1.71303E+04   2.61022E+04   3.92589E+04   5.88142E+04   8.79695E+04   1.31273E+05   1.95176E+05   2.88636E+05   4.23596E+05   6.14924E+05   8.78960E+05   1.22920E+06   1.66722E+06   2.16782E+06   2.66224E+06   3.03266E+06   3.14086E+06   2.90148E+06   2.36166E+06   1.70456E+06   1.14295E+06   7.89314E+05   6.16282E+05   5.20804E+05
            8.06799E+02   1.86014E+03   3.08037E+03   4.12884E+03   5.23985E+03   7.25577E+03   1.10609E+04   1.71695E+04   2.61621E+04   3.93491E+04   5.89497E+04   8.81726E+04   1.31577E+05   1.95628E+05   2.89306E+05   4.24580E+05   6.16353E+05   8.81005E+05   1.23207E+06   1.67110E+06   2.17288E+06   2.66846E+06   3.03975E+06   3.14821E+06   2.90827E+06   2.36718E+06   1.70854E+06   1.14563E+06   7.91162E+05   6.17725E+05   5.22022E+05
            8.08601E+02   1.86430E+03   3.08726E+03   4.13809E+03   5.25164E+03   7.27219E+03   1.10860E+04   1.72087E+04   2.62219E+04   3.94394E+04   5.90853E+04   8.83757E+04   1.31880E+05   1.96080E+05   2.89975E+05   4.25564E+05   6.17784E+05   8.83052E+05   1.23493E+06   1.67499E+06   2.17794E+06   2.67468E+06   3.04684E+06   3.15555E+06   2.91505E+06   2.37271E+06   1.71253E+06   1.14830E+06   7.93011E+05   6.19168E+05   5.23241E+05
            8.10404E+02   1.86846E+03   3.09414E+03   4.14734E+03   5.26342E+03   7.28862E+03   1.11112E+04   1.72479E+04   2.62818E+04   3.95297E+04   5.92208E+04   8.85789E+04   1.32184E+05   1.96532E+05   2.90645E+05   4.26548E+05   6.19214E+05   8.85098E+05   1.23780E+06   1.67888E+06   2.18300E+06   2.68090E+06   3.05393E+06   3.16290E+06   2.92184E+06   2.37823E+06   1.71652E+06   1.15098E+06   7.94860E+05   6.20612E+05   5.24460E+05
            8.12206E+02   1.87261E+03   3.10103E+03   4.15658E+03   5.27521E+03   7.30504E+03   1.11364E+04   1.72871E+04   2.63417E+04   3.96200E+04   5.93564E+04   8.87821E+04   1.32488E+05   1.96984E+05   2.91315E+05   4.27533E+05   6.20644E+05   8.87146E+05   1.24066E+06   1.68277E+06   2.18807E+06   2.68712E+06   3.06102E+06   3.17024E+06   2.92863E+06   2.38376E+06   1.72051E+06   1.15365E+06   7.96709E+05   6.22056E+05   5.25679E+05
            8.14009E+02   1.87677E+03   3.10792E+03   4.16583E+03   5.28701E+03   7.32147E+03   1.11615E+04   1.73263E+04   2.64016E+04   3.97103E+04   5.94920E+04   8.89853E+04   1.32791E+05   1.97437E+05   2.91985E+05   4.28517E+05   6.22076E+05   8.89193E+05   1.24353E+06   1.68666E+06   2.19313E+06   2.69334E+06   3.06811E+06   3.17759E+06   2.93542E+06   2.38928E+06   1.72450E+06   1.15633E+06   7.98559E+05   6.23500E+05   5.26899E+05
            8.15812E+02   1.88092E+03   3.11480E+03   4.17509E+03   5.29880E+03   7.33789E+03   1.11867E+04   1.73655E+04   2.64615E+04   3.98006E+04   5.96276E+04   8.91886E+04   1.33095E+05   1.97889E+05   2.92655E+05   4.29502E+05   6.23507E+05   8.91242E+05   1.24640E+06   1.69056E+06   2.19820E+06   2.69957E+06   3.07521E+06   3.18494E+06   2.94221E+06   2.39481E+06   1.72849E+06   1.15901E+06   8.00410E+05   6.24945E+05   5.28119E+05
            8.17615E+02   1.88508E+03   3.12169E+03   4.18434E+03   5.31059E+03   7.35432E+03   1.12119E+04   1.74047E+04   2.65214E+04   3.98910E+04   5.97633E+04   8.93919E+04   1.33399E+05   1.98342E+05   2.93325E+05   4.30487E+05   6.24938E+05   8.93290E+05   1.24926E+06   1.69445E+06   2.20326E+06   2.70580E+06   3.08231E+06   3.19230E+06   2.94900E+06   2.40034E+06   1.73248E+06   1.16168E+06   8.02260E+05   6.26390E+05   5.29339E+05
            8.19418E+02   1.88924E+03   3.12858E+03   4.19359E+03   5.32239E+03   7.37076E+03   1.12371E+04   1.74439E+04   2.65814E+04   3.99813E+04   5.98990E+04   8.95952E+04   1.33703E+05   1.98795E+05   2.93996E+05   4.31472E+05   6.26370E+05   8.95339E+05   1.25213E+06   1.69834E+06   2.20833E+06   2.71202E+06   3.08940E+06   3.19965E+06   2.95580E+06   2.40587E+06   1.73647E+06   1.16436E+06   8.04112E+05   6.27836E+05   5.30560E+05
