
            1.04732E-11   2.57869E-11   5.94370E-11   1.38501E-10   3.38304E-10   8.53984E-10   2.16820E-09   5.46872E-09   1.37062E-08   3.42506E-08   8.55288E-08   2.13608E-07   5.33654E-07   1.33359E-06   3.33318E-06   8.33115E-06   2.08199E-05   5.20083E-05   1.29818E-04   3.23254E-04   8.01489E-04   1.98207E-03   4.88220E-03   1.19553E-02   2.90238E-02   6.95387E-02   1.63049E-01   3.68658E-01   7.87502E-01   1.55600E+00   2.79864E+00
            2.10483E-11   5.34391E-11   1.25484E-10   2.94056E-10   7.18772E-10   1.82351E-09   4.68104E-09   1.19756E-08   3.04651E-08   7.72487E-08   1.95621E-07   4.95118E-07   1.25263E-06   3.16761E-06   8.00568E-06   2.02202E-05   5.10326E-05   1.28684E-04   3.24133E-04   7.98212E-04   1.87591E-03   4.40381E-03   1.03193E-02   2.41037E-02   5.59945E-02   1.28858E-01   2.91518E-01   6.39437E-01   1.33310E+00   2.58563E+00   4.58741E+00
            3.09600E-11   7.82398E-11   1.82948E-10   4.28720E-10   1.05395E-09   2.69882E-09   7.00501E-09   1.81582E-08   4.69362E-08   1.21229E-07   3.13142E-07   8.08763E-07   2.08732E-06   5.37873E-06   1.38391E-05   3.55524E-05   9.11888E-05   2.33502E-04   5.96846E-04   1.48384E-03   3.47131E-03   8.07018E-03   1.86539E-02   4.28601E-02   9.77714E-02   2.20790E-01   4.90374E-01   1.05772E+00   2.17406E+00   4.16960E+00   7.33501E+00
            3.69091E-11   9.18598E-11   2.12626E-10   4.96807E-10   1.22278E-09   3.13512E-09   8.17701E-09   2.14887E-08   5.65050E-08   1.48681E-07   3.91482E-07   1.03111E-06   2.71522E-06   7.14556E-06   1.87700E-05   4.92083E-05   1.28747E-04   3.36059E-04   8.75071E-04   2.22316E-03   5.32633E-03   1.25868E-02   2.93848E-02   6.78338E-02   1.54827E-01   3.48769E-01   7.71221E-01   1.65486E+00   3.38423E+00   6.46228E+00   1.13287E+01
            3.87841E-11   9.49817E-11   2.17386E-10   5.05632E-10   1.24564E-09   3.20727E-09   8.39101E-09   2.20118E-08   5.78748E-08   1.53620E-07   4.09159E-07   1.09326E-06   2.93510E-06   7.87920E-06   2.11161E-05   5.65082E-05   1.50940E-04   4.02210E-04   1.06899E-03   2.79928E-03   7.01776E-03   1.72000E-02   4.13150E-02   9.74462E-02   2.25909E-01   5.14408E-01   1.14555E+00   2.46883E+00   5.06168E+00   9.67938E+00   1.69823E+01
            3.77188E-11   9.11447E-11   2.07042E-10   4.80356E-10   1.18044E-09   3.01910E-09   7.83445E-09   2.03335E-08   5.27847E-08   1.40100E-07   3.73916E-07   1.00501E-06   2.71112E-06   7.37392E-06   2.00520E-05   5.45465E-05   1.48385E-04   4.03039E-04   1.09262E-03   2.96979E-03   7.96213E-03   2.06636E-02   5.20588E-02   1.27663E-01   3.05336E-01   7.12514E-01   1.61691E+00   3.53426E+00   7.32100E+00   1.41025E+01   2.48699E+01
            3.48625E-11   8.33621E-11   1.88169E-10   4.35310E-10   1.06670E-09   2.70538E-09   6.94084E-09   1.78102E-08   4.58179E-08   1.18130E-07   3.10625E-07   8.22451E-07   2.19712E-06   5.93168E-06   1.61071E-05   4.39072E-05   1.20370E-04   3.30378E-04   9.07369E-04   2.56777E-03   7.54421E-03   2.12708E-02   5.76045E-02   1.50223E-01   3.78244E-01   9.20735E-01   2.16175E+00   4.85265E+00   1.02560E+01   2.00485E+01   3.57291E+01
            3.09846E-11   7.34924E-11   1.65093E-10   3.81043E-10   9.41443E-10   2.38532E-09   6.04750E-09   1.53092E-08   3.87391E-08   9.81338E-08   2.50805E-07   6.43538E-07   1.66226E-06   4.34284E-06   1.14349E-05   3.03396E-05   8.12524E-05   2.19000E-04   5.93886E-04   1.71174E-03   5.54806E-03   1.74564E-02   5.25577E-02   1.50787E-01   4.12448E-01   1.07691E+00   2.67903E+00   6.29774E+00   1.37884E+01   2.76644E+01   5.02352E+01
            2.65156E-11   6.53597E-11   1.50273E-10   3.46521E-10   8.38228E-10   2.09803E-09   5.30261E-09   1.34495E-08   3.38671E-08   8.51771E-08   2.14057E-07   5.38768E-07   1.35795E-06   3.42796E-06   8.67197E-06   2.19979E-05   5.60117E-05   1.43136E-04   3.67311E-04   9.84133E-04   3.04724E-03   1.01001E-02   3.40846E-02   1.12112E-01   3.50935E-01   1.03472E+00   2.85461E+00   7.29611E+00   1.70369E+01   3.58498E+01   6.73794E+01
            2.61769E-11   6.38200E-11   1.44828E-10   3.31867E-10   7.99961E-10   2.00587E-09   5.08952E-09   1.28750E-08   3.24266E-08   8.14831E-08   2.04615E-07   5.13751E-07   1.28989E-06   3.23845E-06   8.13007E-06   2.04089E-05   5.12276E-05   1.28572E-04   3.22655E-04   8.10383E-04   2.05411E-03   5.36609E-03   1.50772E-02   4.72666E-02   1.62219E-01   5.68573E-01   1.89753E+00   5.74896E+00   1.53786E+01   3.58420E+01   7.25885E+01
            2.61654E-11   6.37615E-11   1.44770E-10   3.31639E-10   7.99277E-10   2.00444E-09   5.08573E-09   1.28660E-08   3.24036E-08   8.14258E-08   2.04471E-07   5.13385E-07   1.28896E-06   3.23604E-06   8.12376E-06   2.03919E-05   5.11811E-05   1.28440E-04   3.22264E-04   8.08408E-04   2.02735E-03   5.08240E-03   1.27354E-02   3.18940E-02   7.98039E-02   1.99143E-01   4.91959E-01   1.18195E+00   2.68794E+00   5.62822E+00   1.06399E+01
            2.61645E-11   6.37594E-11   1.44766E-10   3.31628E-10   7.99251E-10   2.00437E-09   5.08556E-09   1.28656E-08   3.24025E-08   8.14230E-08   2.04464E-07   5.13366E-07   1.28891E-06   3.23591E-06   8.12340E-06   2.03910E-05   5.11783E-05   1.28431E-04   3.22240E-04   8.08334E-04   2.02711E-03   5.08166E-03   1.27329E-02   3.18856E-02   7.97752E-02   1.99043E-01   4.91627E-01   1.18093E+00   2.68509E+00   5.62137E+00   1.06256E+01
